running_best_fitness,generation,seed,instance,best_fitness_at_generation,algorithm,instance_path
1564.0,1,1,A-n32-k5.vrp,1564.0,GA,data/vrp/A-n32-k5.vrp
1564.0,2,1,A-n32-k5.vrp,1564.0,GA,data/vrp/A-n32-k5.vrp
1564.0,3,1,A-n32-k5.vrp,1564.0,GA,data/vrp/A-n32-k5.vrp
1414.0,4,1,A-n32-k5.vrp,1414.0,GA,data/vrp/A-n32-k5.vrp
1414.0,5,1,A-n32-k5.vrp,1414.0,GA,data/vrp/A-n32-k5.vrp
1374.0,6,1,A-n32-k5.vrp,1374.0,GA,data/vrp/A-n32-k5.vrp
1374.0,7,1,A-n32-k5.vrp,1374.0,GA,data/vrp/A-n32-k5.vrp
1374.0,8,1,A-n32-k5.vrp,1374.0,GA,data/vrp/A-n32-k5.vrp
1374.0,9,1,A-n32-k5.vrp,1374.0,GA,data/vrp/A-n32-k5.vrp
1374.0,10,1,A-n32-k5.vrp,1374.0,GA,data/vrp/A-n32-k5.vrp
1328.0,11,1,A-n32-k5.vrp,1328.0,GA,data/vrp/A-n32-k5.vrp
1328.0,12,1,A-n32-k5.vrp,1328.0,GA,data/vrp/A-n32-k5.vrp
1328.0,13,1,A-n32-k5.vrp,1328.0,GA,data/vrp/A-n32-k5.vrp
1328.0,14,1,A-n32-k5.vrp,1328.0,GA,data/vrp/A-n32-k5.vrp
1295.0,15,1,A-n32-k5.vrp,1295.0,GA,data/vrp/A-n32-k5.vrp
1295.0,16,1,A-n32-k5.vrp,1295.0,GA,data/vrp/A-n32-k5.vrp
1295.0,17,1,A-n32-k5.vrp,1295.0,GA,data/vrp/A-n32-k5.vrp
1283.0,18,1,A-n32-k5.vrp,1283.0,GA,data/vrp/A-n32-k5.vrp
1283.0,19,1,A-n32-k5.vrp,1283.0,GA,data/vrp/A-n32-k5.vrp
1239.0,20,1,A-n32-k5.vrp,1239.0,GA,data/vrp/A-n32-k5.vrp
1239.0,21,1,A-n32-k5.vrp,1239.0,GA,data/vrp/A-n32-k5.vrp
1239.0,22,1,A-n32-k5.vrp,1239.0,GA,data/vrp/A-n32-k5.vrp
1239.0,23,1,A-n32-k5.vrp,1239.0,GA,data/vrp/A-n32-k5.vrp
1239.0,24,1,A-n32-k5.vrp,1239.0,GA,data/vrp/A-n32-k5.vrp
1239.0,25,1,A-n32-k5.vrp,1239.0,GA,data/vrp/A-n32-k5.vrp
1239.0,26,1,A-n32-k5.vrp,1239.0,GA,data/vrp/A-n32-k5.vrp
1214.0,27,1,A-n32-k5.vrp,1214.0,GA,data/vrp/A-n32-k5.vrp
1214.0,28,1,A-n32-k5.vrp,1214.0,GA,data/vrp/A-n32-k5.vrp
1214.0,29,1,A-n32-k5.vrp,1214.0,GA,data/vrp/A-n32-k5.vrp
1214.0,30,1,A-n32-k5.vrp,1214.0,GA,data/vrp/A-n32-k5.vrp
1214.0,31,1,A-n32-k5.vrp,1214.0,GA,data/vrp/A-n32-k5.vrp
1214.0,32,1,A-n32-k5.vrp,1214.0,GA,data/vrp/A-n32-k5.vrp
1214.0,33,1,A-n32-k5.vrp,1214.0,GA,data/vrp/A-n32-k5.vrp
1214.0,34,1,A-n32-k5.vrp,1214.0,GA,data/vrp/A-n32-k5.vrp
1214.0,35,1,A-n32-k5.vrp,1214.0,GA,data/vrp/A-n32-k5.vrp
1214.0,36,1,A-n32-k5.vrp,1214.0,GA,data/vrp/A-n32-k5.vrp
1214.0,37,1,A-n32-k5.vrp,1214.0,GA,data/vrp/A-n32-k5.vrp
1214.0,38,1,A-n32-k5.vrp,1214.0,GA,data/vrp/A-n32-k5.vrp
1214.0,39,1,A-n32-k5.vrp,1214.0,GA,data/vrp/A-n32-k5.vrp
1214.0,40,1,A-n32-k5.vrp,1214.0,GA,data/vrp/A-n32-k5.vrp
1214.0,41,1,A-n32-k5.vrp,1214.0,GA,data/vrp/A-n32-k5.vrp
